@199.85.196.64/29	170.154.241.72/29	53 : 53	544 : 544	0x11/0xFF	0x0000/0x0000	
@46.190.52.88/29	46.190.51.64/28	123 : 123	7648 : 7648	0x11/0xFF	0x0000/0x0000	
@113.205.14.48/29	122.90.125.112/28	123 : 123	22 : 22	0x11/0xFF	0x0000/0x0000	
@124.66.15.224/29	124.66.12.192/28	53 : 53	53 : 53	0x11/0xFF	0x0000/0x0000	
@148.177.113.16/29	151.229.230.32/28	53 : 53	123 : 123	0x11/0xFF	0x0000/0x0000	
@199.85.196.160/28	199.85.193.56/29	750 : 750	80 : 80	0x11/0xFF	0x0000/0x0000	
@249.50.69.144/28	251.75.87.8/29	67 : 67	750 : 750	0x11/0xFF	0x0000/0x0000	
@67.24.246.32/28	0.107.243.64/28	67 : 67	21 : 21	0x11/0xFF	0x0000/0x0000	
@118.193.142.32/28	4.64.108.64/28	7648 : 7648	21 : 21	0x11/0xFF	0x0000/0x0000	
@145.58.26.112/28	145.58.23.0/28	123 : 123	22 : 22	0x11/0xFF	0x0000/0x0000	
@113.205.42.64/27	4.64.108.80/29	88 : 88	53 : 53	0x11/0xFF	0x0000/0x0000	
@179.0.117.64/27	194.65.4.40/29	24032 : 24032	53 : 53	0x11/0xFF	0x0000/0x0000	
@4.64.119.224/27	88.14.183.96/28	67 : 67	443 : 443	0x11/0xFF	0x0000/0x0000	
@4.64.119.224/27	4.64.108.64/28	53 : 53	25 : 25	0x11/0xFF	0x0000/0x0000	
@156.115.152.32/27	145.58.23.0/28	123 : 123	25 : 25	0x11/0xFF	0x0000/0x0000	
@35.66.63.192/28	32.101.159.32/27	53 : 53	123 : 123	0x11/0xFF	0x0000/0x0000	
@118.193.142.192/28	118.193.142.192/27	123 : 123	2105 : 2105	0x11/0xFF	0x0000/0x0000	
@26.152.219.160/27	26.152.222.224/27	53 : 53	22 : 22	0x11/0xFF	0x0000/0x0000	
@4.64.116.253/32	7.29.178.124/32	0 : 65535	123 : 123	0x06/0xFF	0x0200/0x1200	
