@85.135.115.80/28	94.106.183.152/30	123 : 123	25 : 25	0x11/0xFF	0x0000/0x0000	
@198.214.204.80/28	196.17.90.232/29	7648 : 7648	80 : 80	0x11/0xFF	0x0000/0x0000	
@126.236.164.160/28	126.236.164.184/29	53 : 53	80 : 80	0x11/0xFF	0x0000/0x0000	
@29.198.244.200/29	29.198.247.192/28	123 : 123	123 : 123	0x11/0xFF	0x0000/0x0000	
@136.166.215.224/27	136.166.209.8/29	161 : 161	123 : 123	0x11/0xFF	0x0000/0x0000	
@163.11.147.32/27	160.64.133.128/29	69 : 69	53 : 53	0x11/0xFF	0x0000/0x0000	
@219.155.167.160/27	219.155.162.248/29	7648 : 7648	123 : 123	0x11/0xFF	0x0000/0x0000	
@136.166.215.128/28	225.53.159.96/28	161 : 161	88 : 88	0x11/0xFF	0x0000/0x0000	
@136.166.215.160/27	225.53.159.96/28	7648 : 7648	25 : 25	0x11/0xFF	0x0000/0x0000	
@178.163.243.80/28	178.163.247.0/27	7648 : 7648	7648 : 7648	0x11/0xFF	0x0000/0x0000	
@225.53.156.128/28	235.216.17.128/27	123 : 123	22 : 22	0x11/0xFF	0x0000/0x0000	
@69.82.137.128/28	1.142.225.160/27	7648 : 7648	143 : 143	0x11/0xFF	0x0000/0x0000	
@136.166.215.146/32	135.253.191.21/32	69 : 69	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@198.214.204.77/32	201.51.127.57/32	750 : 750	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@225.53.156.152/32	163.11.151.135/32	750 : 750	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@69.233.164.120/32	69.233.163.61/32	88 : 88	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@99.128.252.238/32	99.128.236.9/32	67 : 67	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@126.236.164.190/32	126.236.163.2/32	161 : 161	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@163.11.147.9/32	160.64.134.120/32	1024 : 65535	161 : 161	0x11/0xFF	0x0000/0x0000	
@225.53.156.152/32	225.53.159.123/32	1024 : 65535	13 : 13	0x11/0xFF	0x0000/0x0000	
@247.143.74.136/32	247.143.76.120/32	1024 : 65535	23 : 23	0x11/0xFF	0x0000/0x0000	
@82.6.182.124/32	81.231.139.125/32	1024 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
@20.182.216.52/32	29.198.247.217/32	1024 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
@29.198.244.198/32	29.198.247.217/32	1024 : 65535	21 : 21	0x11/0xFF	0x0000/0x0000	
@163.11.147.9/32	171.167.209.92/32	0 : 65535	22 : 22	0x06/0xFF	0x0200/0x1200	
@183.23.22.2/32	184.108.82.230/32	0 : 65535	80 : 80	0x06/0xFF	0x0200/0x1200	
@219.155.167.146/32	219.155.162.247/32	0 : 65535	53 : 53	0x06/0xFF	0x0200/0x1200	
@247.121.123.104/32	163.11.151.135/32	0 : 65535	22 : 22	0x06/0xFF	0x0200/0x1200	
@3.16.176.0/32	99.128.236.9/32	0 : 65535	37 : 37	0x06/0xFF	0x0200/0x1200	
@136.166.215.201/32	225.53.159.120/31	750 : 750	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@163.11.147.9/32	163.11.151.132/31	161 : 161	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@136.166.215.146/32	136.166.209.0/31	1024 : 65535	22 : 22	0x11/0xFF	0x0000/0x0000	
@159.252.145.73/32	144.101.251.106/31	1024 : 65535	1999 : 1999	0x11/0xFF	0x0000/0x0000	
@247.121.122.192/32	254.205.119.144/31	1024 : 65535	25 : 25	0x11/0xFF	0x0000/0x0000	
@247.143.74.178/32	247.143.74.164/31	1024 : 65535	37 : 37	0x11/0xFF	0x0000/0x0000	
@55.140.244.196/32	53.92.197.210/31	1024 : 65535	22 : 22	0x11/0xFF	0x0000/0x0000	
@155.55.150.132/31	144.101.251.105/32	0 : 65535	23 : 23	0x06/0xFF	0x0200/0x1200	
@50.72.156.136/31	99.128.236.9/32	0 : 65535	110 : 110	0x06/0xFF	0x0200/0x1200	
@99.128.252.238/32	96.238.119.170/32	0 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
@43.197.191.68/32	99.128.236.9/32	0 : 65535	22 : 22	0x11/0xFF	0x0000/0x0000	
@55.140.244.196/32	53.92.197.226/31	0 : 65535	123 : 123	0x06/0xFF	0x0200/0x1200	
@136.166.215.146/32	225.53.159.124/30	1024 : 65535	22 : 22	0x11/0xFF	0x0000/0x0000	
@247.143.74.115/32	163.11.151.128/30	1024 : 65535	7648 : 7648	0x11/0xFF	0x0000/0x0000	
@55.140.244.196/32	55.140.241.68/30	1024 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
@155.55.150.142/31	155.55.144.146/31	53 : 53	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@183.23.22.4/30	183.23.18.133/32	1024 : 65535	88 : 88	0x11/0xFF	0x0000/0x0000	
@247.143.74.116/30	163.11.151.135/32	53 : 53	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@91.94.223.216/30	1.142.225.145/32	0 : 65535	113 : 113	0x06/0xFF	0x0200/0x1200	
@99.128.252.236/31	99.128.236.9/32	0 : 65535	53 : 53	0x11/0xFF	0x0000/0x0000	
@126.236.162.46/31	1.142.225.146/31	0 : 65535	754 : 754	0x06/0xFF	0x0200/0x1200	
@43.197.191.126/32	33.27.7.128/30	161 : 161	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@155.119.197.192/26	152.5.234.0/23	0 : 65535	22 : 22	0x06/0xFF	0x0200/0x1200	
@192.0.0.0/2	163.11.151.135/32	53 : 53	69 : 69	0x11/0xFF	0x0000/0x0000	
@83.238.153.77/32	94.106.183.158/32	1024 : 65535	1024 : 65535	0x06/0xFF	0x0200/0x1200	
@126.236.164.181/32	1.142.225.145/32	1024 : 65535	1024 : 65535	0x06/0xFF	0x0200/0x1200	
@29.198.244.198/32	22.122.88.82/32	1024 : 65535	1024 : 65535	0x06/0xFF	0x0200/0x1200	
@5.128.156.226/32	0.0.0.0/2	161 : 161	871 : 871	0x11/0xFF	0x0000/0x0000	
@136.166.215.146/32	225.53.159.123/32	1024 : 65535	1024 : 65535	0x06/0xFF	0x0000/0x0000	
@247.143.74.178/32	247.143.74.166/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@99.128.252.238/32	99.128.236.9/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@126.236.164.181/32	124.50.225.204/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@183.23.21.48/32	128.0.0.0/1	88 : 88	2105 : 2105	0x11/0xFF	0x0000/0x0000	
@183.23.22.2/32	128.0.0.0/1	69 : 69	443 : 443	0x11/0xFF	0x0000/0x0000	
@3.16.176.0/32	0.0.0.0/1	123 : 123	69 : 69	0x11/0xFF	0x0000/0x0000	
@198.214.204.77/32	163.11.151.135/32	0 : 65535	0 : 65535	0x01/0xFF	0x0d00/0xff00	
@3.16.176.0/32	1.142.225.146/31	1024 : 65535	1024 : 65535	0x06/0xFF	0x0200/0x1200	
@140.144.224.209/32	225.53.159.120/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@155.119.197.172/32	144.101.251.106/31	0 : 65535	0 : 65535	0x01/0xFF	0x0d00/0xff00	
@69.25.106.45/32	1.142.225.146/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@136.166.215.144/31	225.53.159.123/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@163.11.147.10/31	160.64.133.136/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@219.155.166.64/31	219.155.162.247/32	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@159.252.145.62/32	144.101.251.105/32	0 : 65535	0 : 65535	0x01/0xFF	0x0000/0x0000	
@198.214.204.77/32	196.17.90.225/32	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@159.252.145.18/31	128.0.0.0/1	67 : 67	754 : 754	0x11/0xFF	0x0000/0x0000	
@225.53.156.154/31	128.0.0.0/1	53 : 53	2105 : 2105	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	69.233.163.61/32	123 : 123	22 : 22	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	69.233.163.61/32	53 : 53	22 : 22	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	69.233.163.61/32	123 : 123	88 : 88	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	41.149.201.18/32	123 : 123	879 : 879	0x11/0xFF	0x0000/0x0000	
@155.55.150.181/32	0.0.0.0/0	123 : 123	21 : 21	0x11/0xFF	0x0000/0x0000	
@69.233.164.120/32	0.0.0.0/0	53 : 53	53 : 53	0x11/0xFF	0x0000/0x0000	
@99.128.252.238/32	0.0.0.0/0	24032 : 24032	179 : 179	0x11/0xFF	0x0000/0x0000	
@128.0.0.0/1	29.198.247.222/31	161 : 161	119 : 119	0x11/0xFF	0x0000/0x0000	
@128.0.0.0/1	1.142.225.146/31	161 : 161	22 : 22	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/1	144.101.251.106/31	7648 : 7648	22 : 22	0x11/0xFF	0x0000/0x0000	
@198.214.204.78/31	163.11.151.135/32	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@3.16.176.2/31	3.16.180.29/32	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@99.128.252.192/27	99.128.224.0/21	0 : 65535	22 : 22	0x11/0xFF	0x0000/0x0000	
@140.144.224.209/32	135.10.221.228/30	1024 : 65535	1024 : 65535	0x11/0xFF	0x0000/0x0000	
@136.166.215.148/30	225.53.159.123/32	0 : 65535	0 : 65535	0x01/0xFF	0x1100/0xff00	
@163.11.147.12/30	161.164.100.238/32	0 : 65535	0 : 65535	0x01/0xFF	0x0f00/0xff00	
@45.62.192.12/30	99.128.236.9/32	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@183.23.22.0/31	225.53.159.123/32	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@126.236.164.182/31	126.236.164.171/32	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@45.62.193.56/31	45.62.194.92/32	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@5.128.156.224/31	5.128.155.204/32	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@198.214.204.77/32	198.214.204.88/31	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@198.214.204.78/31	0.0.0.0/0	24032 : 24032	53 : 53	0x11/0xFF	0x0000/0x0000	
@225.53.156.154/31	0.0.0.0/0	88 : 88	23 : 23	0x11/0xFF	0x0000/0x0000	
@91.94.223.202/31	0.0.0.0/0	123 : 123	80 : 80	0x11/0xFF	0x0000/0x0000	
@85.78.99.126/31	0.0.0.0/0	53 : 53	25 : 25	0x11/0xFF	0x0000/0x0000	
@126.236.164.182/31	0.0.0.0/0	67 : 67	25 : 25	0x11/0xFF	0x0000/0x0000	
@43.197.143.66/31	0.0.0.0/0	7648 : 7648	22 : 22	0x11/0xFF	0x0000/0x0000	
@29.198.244.196/31	0.0.0.0/0	123 : 123	37 : 37	0x11/0xFF	0x0000/0x0000	
@198.214.204.78/31	163.11.151.132/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@214.131.252.240/31	214.131.254.108/31	0 : 65535	0 : 65535	0x01/0xFF	0x0000/0xff00	
@225.53.156.154/31	227.231.13.136/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@225.53.156.154/31	225.53.159.120/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@126.236.164.182/31	124.50.224.6/31	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@0.0.0.0/0	41.149.201.16/31	750 : 750	53 : 53	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	247.143.76.62/31	750 : 750	22 : 22	0x11/0xFF	0x0000/0x0000	
@0.0.0.0/0	225.53.159.120/31	53 : 53	80 : 80	0x11/0xFF	0x0000/0x0000	
@69.233.164.120/32	77.182.25.80/30	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@3.16.176.64/26	99.128.240.0/20	0 : 65535	161 : 161	0x06/0xFF	0x0200/0x1200	
@159.252.145.100/31	225.53.159.124/30	0 : 65535	0 : 65535	0x01/0xFF	0x0f00/0xff00	
@155.119.197.167/32	155.119.192.212/30	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@198.214.204.77/32	198.214.203.240/30	0 : 65535	0 : 65535	0x01/0xFF	0x0000/0x0000	
@3.16.176.0/32	3.16.180.136/30	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
@163.11.147.9/32	163.11.151.136/29	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@99.128.252.238/32	96.238.119.160/29	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@45.62.192.9/32	33.27.49.16/29	0 : 65535	0 : 65535	0x06/0xFF	0x0200/0x1200	
@178.163.243.72/31	178.163.247.50/31	0 : 65535	0 : 65535	0x2f/0xFF	0x0000/0x0000	
